Region;Site;Reference;Indicator;Latitude (°N);Longitude (°E);RSL (m);RSL +1s;RSL -1s;Age (CE);Age +2s;Age -2s
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,10;0,16;0,16;1979;10;3
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,08;0,06;0,06;1979;1;1
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,21;0,35;0,35;1980;1;1
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;0,03;0,15;0,15;1980;1;1
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,16;0,16;0,16;1981;23;2
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;0,00;0,18;0,18;1981;3;4
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;0,01;0,07;0,07;1981;9;9
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,07;0,06;0,06;1982;1;1
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,22;0,13;0,13;1983;4;4
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,07;0,18;0,18;1983;4;4
Spain;Plentzia Estuary;Leorri et al. (2008);foraminifera;43,399;-2,945;-0,03;0,18;0,18;1983;1;1
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,06;0,18;0,18;1984;4;4
Spain;Muskiz Estuary;Leorri and Cearreta (2009);foraminifera;43,338;-3,118;0,02;0,18;0,18;1984;1;1
Spain;Plentzia Estuary;Leorri et al. (2008);foraminifera;43,399;-2,945;0,05;0,19;0,19;1985;1;1
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,21;0,13;0,13;1986;5;5
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;0,00;0,03;0,03;1986;5;5
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,06;0,06;0,06;1986;1;1
New Zealand;Pounawea;Gehrels et al. (2008);foraminifera;-46,470;169,700;-0,02;0,05;0,05;1986;1;1
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;0,01;0,10;0,10;1986;8;8
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;0,01;0,10;0,10;1986;8;8
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;0,01;0,10;0,10;1986;8;8
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;0,04;0,15;0,15;1987;5;1
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,32;0,35;0,35;1987;3;3
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,26;0,35;0,35;1987;2;2
Spain;Urdaibai Estuary;Garcia-Artola et al. (2009);foraminifera;43,372;-2,679;0,15;0,16;0,16;1987;2;2
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,19;0,13;0,13;1987;5;5
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,24;0,35;0,35;1988;1;1
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;0,02;0,18;0,18;1988;4;4
Spain;Plentzia Estuary;Leorri et al. (2008);foraminifera;43,399;-2,945;-0,02;0,18;0,18;1988;1;1
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,17;0,12;0,12;1988;6;6
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;0,03;0,07;0,07;1989;11;11
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,13;0,15;0,15;1989;5;5
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,04;0,06;0,06;1989;1;1
Spain;Plentzia Estuary;Leorri et al. (2008);foraminifera;43,399;-2,945;0,06;0,19;0,19;1990;0;0
New Zealand;Pounawea;Gehrels et al. (2008);foraminifera;-46,470;169,700;0,03;0,05;0,05;1991;1;1
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,08;0,18;0,18;1991;4;4
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,20;0,35;0,35;1992;1;1
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,05;0,19;0,19;1993;4;4
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,03;0,06;0,06;1993;0;0
Spain;Muskiz Estuary;Leorri and Cearreta (2009);foraminifera;43,338;-3,118;0,02;0,17;0,17;1993;1;1
Spain;Plentzia Estuary;Leorri et al. (2008);foraminifera;43,399;-2,945;0,09;0,18;0,18;1993;0;0
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,14;0,35;0,35;1994;1;1
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;0,02;0,04;0,04;1995;1;1
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,04;0,20;0,20;1995;4;4
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;0,05;0,15;0,15;1995;5;5
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;0,08;0,18;0,18;1995;3;3
Spain;Plentzia Estuary;Leorri et al. (2008);foraminifera;43,399;-2,945;0,00;0,18;0,18;1995;0;0
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;0,03;0,10;0,10;1996;6;6
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;0,03;0,10;0,10;1996;6;6
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,01;0,06;0,06;1996;0;0
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,10;0,35;0,35;1997;3;3
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,10;0,35;0,35;1998;3;3
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,01;0,18;0,18;1998;3;3
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,18;0,35;0,35;1998;1;1
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;0,06;0,15;0,15;1998;1;1
Spain;Urdaibai Estuary;Garcia-Artola et al. (2009);foraminifera;43,372;-2,679;0,07;0,14;0,14;1999;1;1
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;0,05;0,07;0,07;1999;8;8
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,03;0,18;0,18;2000;3;3
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;0,02;0,03;0,03;2000;2;2
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,01;0,18;0,18;2002;2;2
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,29;0,35;0,35;2003;3;3
Spain;Muskiz Estuary;Leorri and Cearreta (2009);foraminifera;43,338;-3,118;0,00;0,17;0,17;2003;0;0
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;0,03;0,10;0,10;2004;8;8
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,09;0,35;0,35;2007;3;3
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,00;0,35;0,35;2009;3;3
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,15;0,35;0,35;2009;2;2
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,02;0,20;0,20;2010;23;23
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;0,07;0,15;0,15;2011;1;1
