Region;Site;Reference;Indicator;Latitude (°N);Longitude (°E);RSL (m);RSL +1s;RSL -1s;Age (CE);Age +2s;Age -2s
Louisiana, USA;Delahoussaye Canal;Gonzalez and Tornqvist (2009);peat;29,853;-91,710;-0,78;0,04;0,04;969;40;40
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,79;0,12;0,12;969;24;24
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,08;0,36;0,36;970;110;110
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,55;0,07;0,07;974;62;62
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,16;0,36;0,36;978;151;151
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-1,17;0,16;0,16;979;34;53
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,44;0,06;0,06;979;36;36
Iceland;Vioarholmi;Gehrels et al. (2006a);foraminifera;64,763;-22,434;-0,74;0,20;0,20;980;80;82
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;0,33;0,07;0,07;980;20;20
Massachusetts, USA;Revere;Donnelly (2006);plants;42,431;-71,008;-0,69;0,06;0,06;988;53;53
Louisiana, USA;Delahoussaye Canal;Gonzalez and Tornqvist (2009);peat;29,853;-91,710;-0,76;0,04;0,04;989;30;30
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-1,33;0,03;0,03;992;193;193
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,75;0,19;0,19;994;310;310
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,78;0,10;0,10;994;28;28
Massachusetts, USA;Wood Island;Kemp et al. (2011);plants;42,238;-70,778;-0,59;0,06;0,06;997;68;68
